sentenca,categoria_maritaka
Uma ótima opção pra sair da rotina com os amigos.,"comida, bebida, serviço, ambiente, preço"
Excelente opção para conhecer a culinária regional.,comida
"Ótimo restaurante, confortável e atendimento excelente","serviço, ambiente, geral"
"Ambiente agradável, excelente atendimento, banheiros limpos e climatizados, peca por não ter uma área própria de estacionamento, no entanto , oferece um excelente serviço para o público frequentador.","ambiente, serviço, outros"
Ok melhor restaurante do Brasil,"comida, bebida, serviço, geral"
"Bem localizado e sempre cheio, sinal que é um bom restaurante, este recinto é uma boa pedida para apreciar a culinària local.","localização, comida"
"Ótimo bar local para um lanche rápido, com cervejas locais e conversar com pessoas locais agradáveis!","bar, lanche, cervejas locais, pessoas locais"
"lotado aos fins de semana, é um restaurante frequentado por toda a cidade.","localização, geral"
"O forte do calçada alta é o bolinho de bacalhau, que é gostoso, mas muito caro.","comida, preço"
Bar tradicional do centro da cidade.,"a frase ""bar tradicional do centro da cidade"" não contém informações suficientes para identificar os temas de serviço, bebida, ambiente, comida, localização, preço ou geral, uma vez que apenas menciona o tipo de estabelecimento e sua localização portanto, não é possível retornar os nomes dos temas identificados na sentença"
"Melhor bar de manaus,atendimento nota 10000","serviço, bebida"
"Restaurante temático, atendimento diferenciado, comida nordestina maravilhosa, sucos deliciosos, música diversificada.","comida, bebida, serviço, ambiente"
"Restaurante muito bom, com ambiente agradável, opção de brinquedoteca para crianças, atendimento rápido e comida muito gostosa.","<frase>
                ambiente, outros, serviço, comida"
"Um bom bar , lembra mts  a era boemia d manaus.","comida, bebida, serviço, ambiente"
"Restaurante excelente,ambiente muito confortável, excelente atendimento de todos os funcionários e a comida de muito bom gosto ,O camarão internacional e maravilhoso com certeza indico vcs vão adorar","comida, ambiente, serviço"
"Restaurante premiado, de comida regional.","comida, ambiente"
"Restaurante típico da culinária portuguesa, mantém um cardápio permanente sem muitas alterações, passou por modificação estrutural que oferece mais conforto aos clientes.","comida, ambiente, outros"
Parabéns a família por este tradicional restaurante..que JEOVÁ DEUS  lhes abençoe grandemente.,"serviço, ambiente, comida"
"Localização estratégica, pois fica dentro de um dos shoppings centers mais badalados de Manaus.",localização
Lugar exelente servicio bom só cardápio limitado por ele valor acho poderiam ser mas abertos a sugestões tipo eu sou mexicano queria uma comida similar tem todo os ingredientes matéria prima e não quiseram fazer falando tá fora do cardápio eu sei mas como falo não custava nada atender ao cliente olha pague 250 reais cobraram 5 reais por persona por  cover da música q na verdade nem e boa nem dá pra conversar ahh mas 14 ou 19 reais por área infantil acho também um abuso tem lugares que e de graça,"<frase>
                serviço, comida, bebida, localização, preço, outros"
"Melhor restaurante português de Manaus, excelente atendimento, equipe maravilhosa!","serviço, geral"
"Restaurante tranquilo, super aconchegante, Bacalhau muito saboroso.","comida, ambiente, geral"
Melhor restaurante com a minha esposa linda!!,"comida, serviço"
"Ótimo restaurante, um dos melhores sushi de Manaus .","comida, serviço"
restaurante muito bom .. serve pizzas e massas das.melhores qualidades.. preços tbm acessíveis que cabe no seu bolso .,"comida, bebida, preço"
"Ambiente médio refrigerado com decorações agradáveis, painéis tema indígena, sem área externa.",ambiente
Tivemos uma ótima experiência gastronômica no melhor restaurante de Manaus.,comida
Quem gosta de um happy Hour é uma boa opção.,"comida, bebida, ambiente"
"Achei uma boa opção, mas muito barulhento e não tem na cozinha a mesma qualidade que apresenta nos produtos da delicatessen","comida, outros"
"Na minha opinião é o melhor restaurante regional de Manaus, comi um pirarucu com banana e queijo coalho simplesmente maravilhoso...recomendo, pode vir sem medo...","comida, serviço, geral"
"É um bom restaurante, mas geralmente domingo o atendimento não é bom.",serviço
É uma restaurante que possui dois ambientes um mais tradicional puxando pra cozinha portuguesa e outro mais moderno!,ambiente
"E ainda conta com uma área grande para as crianças, se divertirem enquanto o pedido é finalizado.","ambiente, serviço"
Excelente restaurante.,"<frase>
                geral"
"Excelente opção, pão de qualidade.",comida
"Para quem não quer arriscar e comer massa com carnes variadas, esse é  o restaurante ideal!",comida
"Atendimento excelente atendimento, garçom José Gregório muito simpático e cordial, parabéns pelo serviço prestado.",serviço
Um dos melhores restaurantes de Manaus !!,geral
"Poderia ter um preços mais acessíveis, e isso seria de forma simples: tendo como opção tapiocas menores ou individuais.",preço
Ótimo restaurante,"comida, bebida, serviço"
"Restaurante maravilhoso, todos os pratos são muito bem servidos.","comida, serviço"
"Ótima comida regional de qualidade, bom atendimento, várias opções de pratos e bebidas... ótimo restaurante.","comida, serviço, bebida"
"Pizza boa só que dps de um tempo pararam de servi a nossa messa, tirando é uma excelente pizzaria.","comida, serviço"
"Bar pequeno, mas com boas promoções.","comida, bebida, localização"
"Pizzaria muito boa, qualidade, variedade, ambiente, local pra crianças.","comida, ambiente, localização"
O restaurante fica localizado no centro histórico ao lado do teatro Amazonas.,localização
Restaurante maravilhoso de Manaus!!!!!,"comida, bebida, ambiente, geral"
O Langrill é um restaurante razoável.,geral
Restaurante espetacular que mescla a culinária regional com a arte dos melhores chefs do país; localizado em um belíssimo prédio histórico com vista privilegiada para o Teatro Amazonas.,"comida, serviço, localização"
"Restaurante regional muito bom, com ótimos pescados, tais como tambaqui, pirarucu, piau e jatuarana, tudo bem preparados.",comida
Excelente restaurante,"comida, bebida, serviço"
"Pra quem procura otima carne... em um custo bom, otimo lugar e boa higienização.... está ai otima churrascaria !!!","comida, preço, ambiente"
Bar histórico de MANAUS!,"a frase ""bar histórico de manaus!"" não contém informações suficientes para identificar os temas serviço, bebida, ambiente, comida, localização, preço ou geral, uma vez que não há descrições ou opiniões expressas sobre esses aspectos do restaurante portanto, não é possível retornar uma saída contendo os nomes dos temas identificados na sentença"
"Meu lugarzinho do açaí, ótimo opção.",comida
"Restaurante excelente,ambiente muito confortável, excelente atendimento de todos os funcionários e a comida de muito bom gosto ,O camarão internacional e maravilhoso com certeza indico vcs vão adorar","serviço, ambiente, comida"
"Atendimento excepcional, restaurante maravilhoso, e a melhor trilha sonora que se pode imaginar!","serviço, ambiente, outros"
"O Dedé Boteco é uma novidade no Amazonas Shopping, localizado na praça de alimentação do primeiro piso, um local muito aconchegante, estilo boteco, área interna climatizada e externa ao ar livre, Wi-Fi free; possui um menu bebidas e gastronomia, com chopp gelado, cervejas e outros...Mais","<frase>
                ambiente, localização, comida, bebida, serviço, outros"
Excelente restaurante!,"<frase>
                geral"
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.","comida, serviço"
"Excelente restaurante, a comida é bem gostosa é preparada com peixes regionais como o tambaqui, pararucu entre outros, um ponto negativo para o local é a falta de um estacionamento, por ser um local bastante frequentado.","comida, bebida, serviço, localização"
Bares badalados na mesma rua perdem em atendimento.,serviço
Tem uma área privada disponível para grupos...Mais,"ambiente, outros"
"Restaurante muito bom,excelente pra se degustação um peixe regional típico e com requinte do toque de um Chef recomendo a muqueca ao molho de camarão Maravilhosa! !","comida, bebida"
Surpreendente restaurante na capital amazonense.,"comida, bebida, serviço, geral"
Melhor restaurante de Manaus,"comida, bebida, serviço, geral"
É um bom restaurante.,geral
Uma ótima opção pra ir depois do culto no fim de semana ou durante a semana com os amigos ?,"localização, geral"
"Tem uma vista para o butirizau que fica no meio do Shopping Manauara muito bonita inclusive com mesas externas, o ambiente é muito agradável, comi carne de sol, é muito boa.","serviço, ambiente, comida"
"Restaurante português, muito bom.","comida, bebida"
"ótimo restaurante e ótimo atendimento, fomos atendidos pelo sr. Pedro Jacks muito atencioso, gostei de mais.",serviço
Foi com clientes neste excelente restaurante português.,"comida, serviço"
Mas pra quem deseja ir a um lugar um pouco diferente conheça.,"localização, geral"
Manaus tem um excelente restaurante português com um divino bacalhau.,"comida, bebida"
"O espaço físico tbm tá cada dia melhor, pertinho da natureza, dá pra fazer belas fotos tbm","ambiente, outros"
Excelente restaurante.,"comida, bebida, serviço, geral"
"Restaurante de culinária portuguesa de excelente qualidade, cozinha perfeita, honesta e de sabores 1000.",comida
Restaurante acolhedor preços convidativos.,"comida, bebida, ambiente, serviço, localização, preço, geral"
"Situado num dos melhores shoppings de Manaus, o Coco Bambu é um restaurante de alto padrão.","localização, geral"
La tem boa opção de comida mas evito ao maximo em ir.,"comida, outros"
Bar bem legal,"comida, bebida, serviço, ambiente"
Restaurante top.,"comida, bebida, serviço, ambiente, localização, preço, geral"
Excelente opção para.o cardápio de comida japonesa.,comida
Melhor restaurante de Manaus,"comida, bebida, serviço, ambiente, preço, geral"
"Atendimento no segundo piso muito ruim, comi dois pedaços de pizza demorei oito minutos para comer outro, além de suco quente e gelo só chega depois que vc toma todo.","serviço, comida, bebida"
"Localização excelente ao lado de um posto e logo após o shopping ponta negra num complexo de restaurantes, possui estacionamento.","localização, estacionamento"
Melhor restaurante de carnes de Manaus ?,"comida, outros"
Possui uma pequena loja de vinhos e charutos no interior.,"vinhos, charutos"
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.","comida, serviço"
"Comidas de boteco e regionais, uma excelente opção no shopping Manaura.","comida, localização"
"O restaurante também segue o padrão e é bem bonito, porém é um restaurante caro.","<frase>
                ambiente, preço"
